契約月份,最後結算日,臺指選擇權(TXO)
201805W2,2018/05/09,10722
201805W1,2018/05/02,10611
201804W4,2018/04/25,10566
201804,2018/04/18,10846
201804W2,2018/04/11,10975
201804W1,2018/04/09,10896
201803W4,2018/03/28,10862
201803,2018/03/21,11045
201803W2,2018/03/14,11044
201803W1,2018/03/07,10761
201802W4,2018/03/01,10797
201802,2018/02/21,10705
201802W1,2018/02/07,10579
201801W5,2018/01/31,11139
201801W4,2018/01/24,11129
201801,2018/01/17,11020
201801W2,2018/01/10,10825
201801W1,2018/01/03,10792
201712W4,2017/12/27,10479
201712,2017/12/20,10497
201712W2,2017/12/13,10462
201712W1,2017/12/06,10393
201711W5,2017/11/29,10709
201711W4,2017/11/22,10817
201711,2017/11/15,10638
201711W2,2017/11/08,10816
201711W1,2017/11/01,10800
201710W4,2017/10/25,10749
201710,2017/10/18,10728
201710W2,2017/10/11,10641
201710W1,2017/10/05,10522
201709W4,2017/09/27,10335
201709,2017/09/20,10510
201709W2,2017/09/13,10543
201709W1,2017/09/06,10550
201708W5,2017/08/30,10557
201708W4,2017/08/23,10393
201708,2017/08/16,10254
201708W2,2017/08/09,10468
201708W1,2017/08/02,10500
201707W4,2017/07/26,10422
201707,2017/07/19,10500
201707W2,2017/07/12,10427
201707W1,2017/07/05,10390
201706W4,2017/06/28,10401
201706,2017/06/21,10369
201706W2,2017/06/14,10049
201706W1,2017/06/07,10203
201705W5,2017/05/31,10038
201705W4,2017/05/24,10046
201705,2017/05/17,10000
201705W2,2017/05/10,9953
201705W1,2017/05/03,9945
201704W4,2017/04/26,9851
201704,2017/04/19,9639
201704W2,2017/04/12,9808
201704W1,2017/04/05,9911
201703W5,2017/03/29,9845
201703W4,2017/03/22,9905
201703,2017/03/15,9733
201703W2,2017/03/08,9761
201703W1,2017/03/01,9690
201702W4,2017/02/22,9778
201702,2017/02/15,9799
201702W2,2017/02/08,9550
201701W4,2017/02/02,9440
201701,2017/01/18,9340
201701W2,2017/01/11,9343
201701W1,2017/01/04,9285
201612W4,2016/12/28,9198
201612,2016/12/21,9232
201612W2,2016/12/14,9377
201612W1,2016/12/07,9258
201611W5,2016/11/30,9217
201611W4,2016/11/23,9179
201611,2016/11/16,8984
201611W2,2016/11/09,8940
201611W1,2016/11/02,9151
201610W4,2016/10/26,9363
201610,2016/10/19,9280
201610W2,2016/10/12,9247
201610W1,2016/10/05,9261
201609W4,2016/09/29,9287
201609,2016/09/21,9221
201609W2,2016/09/14,8902
201609W1,2016/09/07,9261
201608W5,2016/08/31,9074
201608W4,2016/08/24,9030
201608,2016/08/17,9121
201608W2,2016/08/10,9181
201608W1,2016/08/03,9004
201607W4,2016/07/27,9054
201607,2016/07/20,9003
201607W2,2016/07/13,8845
201607W1,2016/07/06,8579
201606W5,2016/06/29,8585
201606W4,2016/06/22,8694
201606,2016/06/15,8602
201606W2,2016/06/08,8704
201606W1,2016/06/01,8598
201605W4,2016/05/25,8387
201605,2016/05/18,8149
201605W2,2016/05/11,8139
201605W1,2016/05/04,8171
201604W4,2016/04/27,8567
201604,2016/04/20,8519
201604W2,2016/04/13,8641
201604W1,2016/04/06,8523
201603W5,2016/03/30,8735
201603W4,2016/03/23,8745
201603,2016/03/16,8691
201603W2,2016/03/09,8616
201603W1,2016/03/02,8549
201602W4,2016/02/24,8276
201602,2016/02/17,8212
201602W2,2016/02/15,8053
201602W1,2016/02/03,8077
201601W4,2016/01/27,7844
201601,2016/01/20,7704
201601W2,2016/01/13,7814
201601W1,2016/01/06,7996
201512W5,2015/12/30,8281
201512W4,2015/12/23,8316
201512,2015/12/16,8198
201512W2,2015/12/09,8252
201512W1,2015/12/02,8463
201511W4,2015/11/25,8372
201511,2015/11/18,8335
201511W2,2015/11/11,8428
201511W1,2015/11/04,8851
201510W4,2015/10/28,8647
201510,2015/10/21,8617
201510W2,2015/10/14,8528
201510W1,2015/10/07,8481
201509W5,2015/09/30,8156
201509W4,2015/09/23,8199
201509,2015/09/16,8318
201509W2,2015/09/09,8279
201509W1,2015/09/02,8056
201508W4,2015/08/26,7750
201508,2015/08/19,8002
201508W2,2015/08/12,8278
201508W1,2015/08/05,8547
201507W5,2015/07/29,8563
201507W4,2015/07/22,8906
201507,2015/07/15,9029
201507W2,2015/07/08,8994
201507W1,2015/07/01,9388
201506W4,2015/06/24,9380
201506,2015/06/17,9181
201506W2,2015/06/10,9307
201506W1,2015/06/03,9561
201505W4,2015/05/27,9696
201505,2015/05/20,9668
201505W2,2015/05/13,9736
201505W1,2015/05/06,9818
201504W5,2015/04/29,9868
201504W4,2015/04/22,9620
201504,2015/04/15,9520
201504W2,2015/04/08,9584
201504W1,2015/04/01,9525
201503W4,2015/03/25,9669
201503,2015/03/18,9633
201503W2,2015/03/11,9553
201503W1,2015/03/04,9619
201502W4,2015/02/25,9684
201502,2015/02/24,9623
201502W2,2015/02/11,9462
201502W1,2015/02/04,9517
201501W4,2015/01/28,9499
201501,2015/01/21,9309
201501W2,2015/01/14,9193
201501W1,2015/01/07,9096
201412W5,2014/12/31,9277
201412W4,2014/12/24,9176
201412,2014/12/17,8843
201412W2,2014/12/10,9032
201412W1,2014/12/03,9173
201411W4,2014/11/26,9127
201411,2014/11/19,8953
201411W2,2014/11/12,8906
201411W1,2014/11/05,8950
201410W5,2014/10/29,8896
201410W4,2014/10/22,8741
201410,2014/10/15,8646
201410W2,2014/10/08,8979
201410W1,2014/10/01,8994
201409W4,2014/09/24,9111
201409,2014/09/17,9172
201409W2,2014/09/10,9356
201409W1,2014/09/03,9428
201408W4,2014/08/27,9471
201408,2014/08/20,9275
201408W2,2014/08/13,9225
201408W1,2014/08/06,9150
201407W5,2014/07/30,9444
201407W4,2014/07/24,9506
201407,2014/07/16,9483
201407W2,2014/07/09,9495
201407W1,2014/07/02,9464
201406W4,2014/06/25,9242
201406,2014/06/18,9302
201406W2,2014/06/11,9213
201406W1,2014/06/04,9124
201405W4,2014/05/28,9114
201405,2014/05/21,8860
201405W2,2014/05/14,8849
201405W1,2014/05/07,8891
201404W5,2014/04/30,8811
201404W4,2014/04/23,8963
201404,2014/04/16,8954
201404W2,2014/04/09,8930
201404W1,2014/04/02,8900
201403W4,2014/03/26,8736
201403,2014/03/19,8696
201403W2,2014/03/12,8662
201403W1,2014/03/05,8639
201402W4,2014/02/26,8611
201402,2014/02/19,8556
201402W2,2014/02/12,8502
201401W5,2014/02/05,8269
201401W4,2014/01/22,8610
201401,2014/01/15,8610
201401W2,2014/01/08,8560
201401W1,2014/01/02,8606
201312W4,2013/12/25,8475
201312,2013/12/18,8338
201312W2,2013/12/11,8422
201312W1,2013/12/04,8422
201311W4,2013/11/27,8299
201311,2013/11/20,8219
201311W2,2013/11/13,8112
201311W1,2013/11/06,8270
201310W5,2013/10/30,8444
201310W4,2013/10/23,8385
201310,2013/10/16,8344
201310W2,2013/10/09,8342
201310W1,2013/10/02,8220
201309W4,2013/09/25,8276
201309,2013/09/18,8238
201309W2,2013/09/11,8179
201309W1,2013/09/04,8082
201308W4,2013/08/28,7821
201308,2013/08/22,7813
201308W2,2013/08/14,7954
201308W1,2013/08/07,7936
201307W5,2013/07/31,8121
201307W4,2013/07/24,8198
201307,2013/07/17,8241
201307W2,2013/07/10,7990
201307W1,2013/07/03,7905
201306W4,2013/06/26,7802
201306,2013/06/19,8019
201306W2,2013/06/13,7971
201306W1,2013/06/05,8187
201305W5,2013/05/29,8334
201305W4,2013/05/22,8390
201305,2013/05/15,8303
201305W2,2013/05/08,8259
201305W1,2013/05/02,8131
201304W4,2013/04/24,8017
201304,2013/04/17,7808
201304W2,2013/04/10,7745
201304W1,2013/04/03,7930
201303W4,2013/03/27,7881
201303,2013/03/20,7795
201303W2,2013/03/13,8002
201303W1,2013/03/06,7954
201302W4,2013/02/27,7901
201302,2013/02/20,8022
201302W2,2013/02/18,7949
201302W1,2013/02/06,7917
201301W5,2013/01/30,7838
201301W4,2013/01/23,7742
201301,2013/01/16,7718
201301W2,2013/01/09,7741
201301W1,2013/01/02,7770
